Date,Series,Value
2020-04-19 00:00:00,Volume Intensity,1.2121
2020-04-19 00:15:00,Volume Intensity,3.556
2020-04-19 00:30:00,Volume Intensity,0.7706
2020-04-19 00:45:00,Volume Intensity,1.0624
2020-04-19 01:00:00,Volume Intensity,1.3429
2020-04-19 01:15:00,Volume Intensity,0.9251
2020-04-19 01:30:00,Volume Intensity,0.8015
2020-04-19 01:45:00,Volume Intensity,1.6717
2020-04-19 02:00:00,Volume Intensity,1.105
2020-04-19 02:15:00,Volume Intensity,1.1556
2020-04-19 02:30:00,Volume Intensity,0.5393
2020-04-19 02:45:00,Volume Intensity,0.3891
2020-04-19 03:00:00,Volume Intensity,3.6597
2020-04-19 03:15:00,Volume Intensity,1.79
2020-04-19 03:30:00,Volume Intensity,2.9929
2020-04-19 03:45:00,Volume Intensity,2.256
2020-04-19 04:00:00,Volume Intensity,1.617
2020-04-19 04:15:00,Volume Intensity,2.2189
2020-04-19 04:30:00,Volume Intensity,0.8044
2020-04-19 04:45:00,Volume Intensity,1.1542
2020-04-19 05:00:00,Volume Intensity,0.9243
2020-04-19 05:15:00,Volume Intensity,1.2369
2020-04-19 05:30:00,Volume Intensity,0.7156
2020-04-19 05:45:00,Volume Intensity,0.3711
2020-04-19 06:00:00,Volume Intensity,0.9473
2020-04-19 06:15:00,Volume Intensity,0.5919
2020-04-19 06:30:00,Volume Intensity,0.6844
2020-04-19 06:45:00,Volume Intensity,1.3274
2020-04-19 07:00:00,Volume Intensity,1.2186
2020-04-19 07:15:00,Volume Intensity,1.0913
2020-04-19 07:30:00,Volume Intensity,1.6985
2020-04-19 07:45:00,Volume Intensity,0.8602
2020-04-19 08:00:00,Volume Intensity,0.4372
2020-04-19 08:15:00,Volume Intensity,2.1963
2020-04-19 08:30:00,Volume Intensity,1.1405
2020-04-19 08:45:00,Volume Intensity,0.9471
2020-04-19 09:00:00,Volume Intensity,1.1337
2020-04-19 09:15:00,Volume Intensity,1.3893
2020-04-19 09:30:00,Volume Intensity,1.5792
2020-04-19 09:45:00,Volume Intensity,1.3659
2020-04-19 10:00:00,Volume Intensity,0.5695
2020-04-19 10:15:00,Volume Intensity,0.813
2020-04-19 10:30:00,Volume Intensity,1.4714
2020-04-19 10:45:00,Volume Intensity,1.269
2020-04-19 11:00:00,Volume Intensity,1.3108
2020-04-19 11:15:00,Volume Intensity,1.6293
2020-04-19 11:30:00,Volume Intensity,1.5212
2020-04-19 11:45:00,Volume Intensity,1.5986
2020-04-19 12:00:00,Volume Intensity,2.5148
2020-04-19 12:15:00,Volume Intensity,1.5823
2020-04-19 12:30:00,Volume Intensity,1.1978
2020-04-19 12:45:00,Volume Intensity,1.697
2020-04-19 13:00:00,Volume Intensity,1.0719
2020-04-19 13:15:00,Volume Intensity,1.6565
2020-04-19 13:30:00,Volume Intensity,0.9289
2020-04-19 13:45:00,Volume Intensity,1.3941
2020-04-19 14:00:00,Volume Intensity,1.2544
2020-04-19 14:15:00,Volume Intensity,1.0152
2020-04-19 14:30:00,Volume Intensity,1.6307
2020-04-19 14:45:00,Volume Intensity,1.2412
2020-04-19 15:00:00,Volume Intensity,1.3022
2020-04-19 15:15:00,Volume Intensity,1.3462
2020-04-19 15:30:00,Volume Intensity,0.5794
2020-04-19 15:45:00,Volume Intensity,1.4628
2020-04-19 16:00:00,Volume Intensity,0.6067
2020-04-19 16:15:00,Volume Intensity,1.6439
2020-04-19 16:30:00,Volume Intensity,1.2809
2020-04-19 16:45:00,Volume Intensity,0.8102
2020-04-19 17:00:00,Volume Intensity,1.6687
2020-04-19 17:15:00,Volume Intensity,1.4637
2020-04-19 17:30:00,Volume Intensity,0.9044
2020-04-19 17:45:00,Volume Intensity,0.7872
2020-04-19 18:00:00,Volume Intensity,1.3104
2020-04-19 18:15:00,Volume Intensity,1.0074
2020-04-19 18:30:00,Volume Intensity,0.7648
2020-04-19 18:45:00,Volume Intensity,1.2082
2020-04-19 19:00:00,Volume Intensity,0.7755
2020-04-19 19:15:00,Volume Intensity,1.0091
2020-04-19 19:30:00,Volume Intensity,1.1397
2020-04-19 19:45:00,Volume Intensity,1.0465
2020-04-19 20:00:00,Volume Intensity,1.1947
2020-04-19 20:15:00,Volume Intensity,1.3177
2020-04-19 20:30:00,Volume Intensity,1.0455
2020-04-19 20:45:00,Volume Intensity,0.6233
2020-04-19 21:00:00,Volume Intensity,1.0628
2020-04-19 21:15:00,Volume Intensity,0.9769
2020-04-19 21:30:00,Volume Intensity,0.8506
2020-04-19 21:45:00,Volume Intensity,1.0931
2020-04-19 22:00:00,Volume Intensity,0.8999
2020-04-19 22:15:00,Volume Intensity,1.0009
2020-04-19 22:30:00,Volume Intensity,0.7029
2020-04-19 22:45:00,Volume Intensity,1.2775
2020-04-19 23:00:00,Volume Intensity,1.1988
2020-04-19 23:15:00,Volume Intensity,0.8861
2020-04-19 23:30:00,Volume Intensity,2.0842
2020-04-19 23:45:00,Volume Intensity,1.5192
