Date,Series,Value
2020-03-11 00:00:00,Volume Intensity,0.3512
2020-03-11 00:15:00,Volume Intensity,0.3761
2020-03-11 00:30:00,Volume Intensity,0.68
2020-03-11 00:45:00,Volume Intensity,0.5674
2020-03-11 01:00:00,Volume Intensity,0.553
2020-03-11 01:15:00,Volume Intensity,0.2183
2020-03-11 01:30:00,Volume Intensity,0.754
2020-03-11 01:45:00,Volume Intensity,0.8014
2020-03-11 02:00:00,Volume Intensity,0.3613
2020-03-11 02:15:00,Volume Intensity,0.6915
2020-03-11 02:30:00,Volume Intensity,0.3452
2020-03-11 02:45:00,Volume Intensity,0.31
2020-03-11 03:00:00,Volume Intensity,0.2772
2020-03-11 03:15:00,Volume Intensity,0.2286
2020-03-11 03:30:00,Volume Intensity,0.2279
2020-03-11 03:45:00,Volume Intensity,0.335
2020-03-11 04:00:00,Volume Intensity,0.358
2020-03-11 04:15:00,Volume Intensity,0.4344
2020-03-11 04:30:00,Volume Intensity,0.2424
2020-03-11 04:45:00,Volume Intensity,0.3396
2020-03-11 05:00:00,Volume Intensity,0.9091
2020-03-11 05:15:00,Volume Intensity,0.8639
2020-03-11 05:30:00,Volume Intensity,0.4293
2020-03-11 05:45:00,Volume Intensity,0.3876
2020-03-11 06:00:00,Volume Intensity,0.6146
2020-03-11 06:15:00,Volume Intensity,1.0198
2020-03-11 06:30:00,Volume Intensity,0.5786
2020-03-11 06:45:00,Volume Intensity,0.6433
2020-03-11 07:00:00,Volume Intensity,0.5744
2020-03-11 07:15:00,Volume Intensity,0.7881
2020-03-11 07:30:00,Volume Intensity,0.7524
2020-03-11 07:45:00,Volume Intensity,0.3731
2020-03-11 08:00:00,Volume Intensity,0.3276
2020-03-11 08:15:00,Volume Intensity,0.7811
2020-03-11 08:30:00,Volume Intensity,0.3416
2020-03-11 08:45:00,Volume Intensity,0.5497
2020-03-11 09:00:00,Volume Intensity,0.7121
2020-03-11 09:15:00,Volume Intensity,0.184
2020-03-11 09:30:00,Volume Intensity,0.568
2020-03-11 09:45:00,Volume Intensity,0.597
2020-03-11 10:00:00,Volume Intensity,0.6441
2020-03-11 10:15:00,Volume Intensity,0.8876
2020-03-11 10:30:00,Volume Intensity,0.5892
2020-03-11 10:45:00,Volume Intensity,0.6564
2020-03-11 11:00:00,Volume Intensity,0.8638
2020-03-11 11:15:00,Volume Intensity,0.7402
2020-03-11 11:30:00,Volume Intensity,0.7994
2020-03-11 11:45:00,Volume Intensity,0.7165
2020-03-11 12:00:00,Volume Intensity,0.5602
2020-03-11 12:15:00,Volume Intensity,0.5086
2020-03-11 12:30:00,Volume Intensity,1.4563
2020-03-11 12:45:00,Volume Intensity,1.154
2020-03-11 13:00:00,Volume Intensity,0.4448
2020-03-11 13:15:00,Volume Intensity,0.627
2020-03-11 13:30:00,Volume Intensity,1.0426
2020-03-11 13:45:00,Volume Intensity,0.7274
2020-03-11 14:00:00,Volume Intensity,0.7677
2020-03-11 14:15:00,Volume Intensity,0.6439
2020-03-11 14:30:00,Volume Intensity,0.3646
2020-03-11 14:45:00,Volume Intensity,1.1183
2020-03-11 15:00:00,Volume Intensity,0.523
2020-03-11 15:15:00,Volume Intensity,0.5277
2020-03-11 15:30:00,Volume Intensity,0.703
2020-03-11 15:45:00,Volume Intensity,0.7543
2020-03-11 16:00:00,Volume Intensity,0.6606
2020-03-11 16:15:00,Volume Intensity,0.3505
2020-03-11 16:30:00,Volume Intensity,0.5754
2020-03-11 16:45:00,Volume Intensity,0.3436
2020-03-11 17:00:00,Volume Intensity,0.6807
2020-03-11 17:15:00,Volume Intensity,0.4468
2020-03-11 17:30:00,Volume Intensity,0.6558
2020-03-11 17:45:00,Volume Intensity,0.5196
2020-03-11 18:00:00,Volume Intensity,0.3915
2020-03-11 18:15:00,Volume Intensity,0.7486
2020-03-11 18:30:00,Volume Intensity,0.7431
2020-03-11 18:45:00,Volume Intensity,1.0317
2020-03-11 19:00:00,Volume Intensity,0.4675
2020-03-11 19:15:00,Volume Intensity,0.4903
2020-03-11 19:30:00,Volume Intensity,0.5798
2020-03-11 19:45:00,Volume Intensity,0.5421
2020-03-11 20:00:00,Volume Intensity,0.4351
2020-03-11 20:15:00,Volume Intensity,0.9811
2020-03-11 20:30:00,Volume Intensity,0.5196
2020-03-11 20:45:00,Volume Intensity,0.7047
2020-03-11 21:00:00,Volume Intensity,0.5653
2020-03-11 21:15:00,Volume Intensity,0.4842
2020-03-11 21:30:00,Volume Intensity,0.4005
2020-03-11 21:45:00,Volume Intensity,0.8006
2020-03-11 22:00:00,Volume Intensity,0.4697
2020-03-11 22:15:00,Volume Intensity,0.4061
2020-03-11 22:30:00,Volume Intensity,0.7222
2020-03-11 22:45:00,Volume Intensity,0.3672
2020-03-11 23:00:00,Volume Intensity,0.7558
2020-03-11 23:15:00,Volume Intensity,0.7811
2020-03-11 23:30:00,Volume Intensity,0.6288
2020-03-11 23:45:00,Volume Intensity,0.4508
