Date,Series,Value
2020-03-20 00:00:00,Volume Intensity,0.725
2020-03-20 00:15:00,Volume Intensity,0.5546
2020-03-20 00:30:00,Volume Intensity,0.9993
2020-03-20 00:45:00,Volume Intensity,0.82
2020-03-20 01:00:00,Volume Intensity,1.1358
2020-03-20 01:15:00,Volume Intensity,0.4084
2020-03-20 01:30:00,Volume Intensity,0.3919
2020-03-20 01:45:00,Volume Intensity,1.2298
2020-03-20 02:00:00,Volume Intensity,0.4411
2020-03-20 02:15:00,Volume Intensity,0.767
2020-03-20 02:30:00,Volume Intensity,0.6112
2020-03-20 02:45:00,Volume Intensity,0.4993
2020-03-20 03:00:00,Volume Intensity,0.9426
2020-03-20 03:15:00,Volume Intensity,0.4604
2020-03-20 03:30:00,Volume Intensity,0.668
2020-03-20 03:45:00,Volume Intensity,0.4506
2020-03-20 04:00:00,Volume Intensity,0.988
2020-03-20 04:15:00,Volume Intensity,0.3005
2020-03-20 04:30:00,Volume Intensity,0.6659
2020-03-20 04:45:00,Volume Intensity,0.6594
2020-03-20 05:00:00,Volume Intensity,1.7194
2020-03-20 05:15:00,Volume Intensity,0.5004
2020-03-20 05:30:00,Volume Intensity,0.5554
2020-03-20 05:45:00,Volume Intensity,1.0005
2020-03-20 06:00:00,Volume Intensity,0.9736
2020-03-20 06:15:00,Volume Intensity,1.1762
2020-03-20 06:30:00,Volume Intensity,0.9542
2020-03-20 06:45:00,Volume Intensity,1.134
2020-03-20 07:00:00,Volume Intensity,0.5752
2020-03-20 07:15:00,Volume Intensity,0.843
2020-03-20 07:30:00,Volume Intensity,0.8547
2020-03-20 07:45:00,Volume Intensity,0.6003
2020-03-20 08:00:00,Volume Intensity,0.6601
2020-03-20 08:15:00,Volume Intensity,1.1468
2020-03-20 08:30:00,Volume Intensity,0.9418
2020-03-20 08:45:00,Volume Intensity,0.7707
2020-03-20 09:00:00,Volume Intensity,0.6789
2020-03-20 09:15:00,Volume Intensity,1.0006
2020-03-20 09:30:00,Volume Intensity,0.5853
2020-03-20 09:45:00,Volume Intensity,0.8102
2020-03-20 10:00:00,Volume Intensity,0.591
2020-03-20 10:15:00,Volume Intensity,1.162
2020-03-20 10:30:00,Volume Intensity,0.7909
2020-03-20 10:45:00,Volume Intensity,0.7881
2020-03-20 11:00:00,Volume Intensity,0.9064
2020-03-20 11:15:00,Volume Intensity,0.9352
2020-03-20 11:30:00,Volume Intensity,0.5338
2020-03-20 11:45:00,Volume Intensity,0.785
2020-03-20 12:00:00,Volume Intensity,1.0312
2020-03-20 12:15:00,Volume Intensity,1.0672
2020-03-20 12:30:00,Volume Intensity,0.6261
2020-03-20 12:45:00,Volume Intensity,1.1989
2020-03-20 13:00:00,Volume Intensity,0.971
2020-03-20 13:15:00,Volume Intensity,1.4658
2020-03-20 13:30:00,Volume Intensity,0.535
2020-03-20 13:45:00,Volume Intensity,1.2724
2020-03-20 14:00:00,Volume Intensity,1.2476
2020-03-20 14:15:00,Volume Intensity,0.6644
2020-03-20 14:30:00,Volume Intensity,0.6081
2020-03-20 14:45:00,Volume Intensity,1.028
2020-03-20 15:00:00,Volume Intensity,0.9347
2020-03-20 15:15:00,Volume Intensity,0.7611
2020-03-20 15:30:00,Volume Intensity,0.8393
2020-03-20 15:45:00,Volume Intensity,0.8828
2020-03-20 16:00:00,Volume Intensity,1.0529
2020-03-20 16:15:00,Volume Intensity,0.5491
2020-03-20 16:30:00,Volume Intensity,0.6411
2020-03-20 16:45:00,Volume Intensity,0.7366
2020-03-20 17:00:00,Volume Intensity,0.8034
2020-03-20 17:15:00,Volume Intensity,0.9892
2020-03-20 17:30:00,Volume Intensity,0.7281
2020-03-20 17:45:00,Volume Intensity,0.8015
2020-03-20 18:00:00,Volume Intensity,0.9827
2020-03-20 18:15:00,Volume Intensity,0.8888
2020-03-20 18:30:00,Volume Intensity,0.762
2020-03-20 18:45:00,Volume Intensity,0.7173
2020-03-20 19:00:00,Volume Intensity,0.5431
2020-03-20 19:15:00,Volume Intensity,0.467
2020-03-20 19:30:00,Volume Intensity,0.919
2020-03-20 19:45:00,Volume Intensity,1.1654
2020-03-20 20:00:00,Volume Intensity,1.1975
2020-03-20 20:15:00,Volume Intensity,1.3423
2020-03-20 20:30:00,Volume Intensity,0.6212
2020-03-20 20:45:00,Volume Intensity,0.7036
2020-03-20 21:00:00,Volume Intensity,0.4933
2020-03-20 21:15:00,Volume Intensity,0.6713
2020-03-20 21:30:00,Volume Intensity,0.7315
2020-03-20 21:45:00,Volume Intensity,0.7128
2020-03-20 22:00:00,Volume Intensity,0.7003
2020-03-20 22:15:00,Volume Intensity,0.67
2020-03-20 22:30:00,Volume Intensity,0.4195
2020-03-20 22:45:00,Volume Intensity,0.6175
2020-03-20 23:00:00,Volume Intensity,1.0743
2020-03-20 23:15:00,Volume Intensity,0.6076
2020-03-20 23:30:00,Volume Intensity,0.3926
2020-03-20 23:45:00,Volume Intensity,0.2975
