Date,Series,Value
2020-04-12 00:00:00,Volume Intensity,1.0522
2020-04-12 00:15:00,Volume Intensity,2.448
2020-04-12 00:30:00,Volume Intensity,1.3636
2020-04-12 00:45:00,Volume Intensity,1.6252
2020-04-12 01:00:00,Volume Intensity,1.2107
2020-04-12 01:15:00,Volume Intensity,0.9023
2020-04-12 01:30:00,Volume Intensity,1.8479
2020-04-12 01:45:00,Volume Intensity,0.6149
2020-04-12 02:00:00,Volume Intensity,0.4975
2020-04-12 02:15:00,Volume Intensity,1.6777
2020-04-12 02:30:00,Volume Intensity,2.1763
2020-04-12 02:45:00,Volume Intensity,0.7054
2020-04-12 03:00:00,Volume Intensity,2.3281
2020-04-12 03:15:00,Volume Intensity,1.1343
2020-04-12 03:30:00,Volume Intensity,2.1627
2020-04-12 03:45:00,Volume Intensity,1.188
2020-04-12 04:00:00,Volume Intensity,2.6863
2020-04-12 04:15:00,Volume Intensity,1.2267
2020-04-12 04:30:00,Volume Intensity,0.6626
2020-04-12 04:45:00,Volume Intensity,1.1834
2020-04-12 05:00:00,Volume Intensity,0.1039
2020-04-12 05:15:00,Volume Intensity,1.4078
2020-04-12 05:30:00,Volume Intensity,0.6711
2020-04-12 05:45:00,Volume Intensity,0.3638
2020-04-12 06:00:00,Volume Intensity,2.8379
2020-04-12 06:15:00,Volume Intensity,1.2284
2020-04-12 06:30:00,Volume Intensity,2.1818
2020-04-12 06:45:00,Volume Intensity,1.8035
2020-04-12 07:00:00,Volume Intensity,0.9056
2020-04-12 07:15:00,Volume Intensity,1.1614
2020-04-12 07:30:00,Volume Intensity,1.2552
2020-04-12 07:45:00,Volume Intensity,1.2301
2020-04-12 08:00:00,Volume Intensity,1.0142
2020-04-12 08:15:00,Volume Intensity,1.1071
2020-04-12 08:30:00,Volume Intensity,2.1856
2020-04-12 08:45:00,Volume Intensity,1.2535
2020-04-12 09:00:00,Volume Intensity,0.8119
2020-04-12 09:15:00,Volume Intensity,0.498
2020-04-12 09:30:00,Volume Intensity,1.2784
2020-04-12 09:45:00,Volume Intensity,0.6452
2020-04-12 10:00:00,Volume Intensity,1.97
2020-04-12 10:15:00,Volume Intensity,1.5843
2020-04-12 10:30:00,Volume Intensity,1.3634
2020-04-12 10:45:00,Volume Intensity,2.063
2020-04-12 11:00:00,Volume Intensity,1.4892
2020-04-12 11:15:00,Volume Intensity,1.2511
2020-04-12 11:30:00,Volume Intensity,0.6777
2020-04-12 11:45:00,Volume Intensity,0.5804
2020-04-12 12:00:00,Volume Intensity,1.5998
2020-04-12 12:15:00,Volume Intensity,2.3248
2020-04-12 12:30:00,Volume Intensity,3.0561
2020-04-12 12:45:00,Volume Intensity,1.2464
2020-04-12 13:00:00,Volume Intensity,1.6379
2020-04-12 13:15:00,Volume Intensity,0.8794
2020-04-12 13:30:00,Volume Intensity,1.6558
2020-04-12 13:45:00,Volume Intensity,1.5979
2020-04-12 14:00:00,Volume Intensity,1.2791
2020-04-12 14:15:00,Volume Intensity,1.247
2020-04-12 14:30:00,Volume Intensity,1.2669
2020-04-12 14:45:00,Volume Intensity,0.751
2020-04-12 15:00:00,Volume Intensity,1.1134
2020-04-12 15:15:00,Volume Intensity,2.0361
2020-04-12 15:30:00,Volume Intensity,1.0787
2020-04-12 15:45:00,Volume Intensity,1.0356
2020-04-12 16:00:00,Volume Intensity,1.435
2020-04-12 16:15:00,Volume Intensity,0.8162
2020-04-12 16:30:00,Volume Intensity,1.322
2020-04-12 16:45:00,Volume Intensity,1.4567
2020-04-12 17:00:00,Volume Intensity,1.6134
2020-04-12 17:15:00,Volume Intensity,1.8856
2020-04-12 17:30:00,Volume Intensity,1.3062
2020-04-12 17:45:00,Volume Intensity,0.9641
2020-04-12 18:00:00,Volume Intensity,0.6463
2020-04-12 18:15:00,Volume Intensity,1.0975
2020-04-12 18:30:00,Volume Intensity,0.8762
2020-04-12 18:45:00,Volume Intensity,1.2706
2020-04-12 19:00:00,Volume Intensity,1.1179
2020-04-12 19:15:00,Volume Intensity,1.3076
2020-04-12 19:30:00,Volume Intensity,1.3333
2020-04-12 19:45:00,Volume Intensity,1.1561
2020-04-12 20:00:00,Volume Intensity,0.9437
2020-04-12 20:15:00,Volume Intensity,0.9491
2020-04-12 20:30:00,Volume Intensity,2.0171
2020-04-12 20:45:00,Volume Intensity,1.4099
2020-04-12 21:00:00,Volume Intensity,1.1478
2020-04-12 21:15:00,Volume Intensity,2.2239
2020-04-12 21:30:00,Volume Intensity,1.626
2020-04-12 21:45:00,Volume Intensity,1.7815
2020-04-12 22:00:00,Volume Intensity,0.8237
2020-04-12 22:15:00,Volume Intensity,1.3667
2020-04-12 22:30:00,Volume Intensity,0.9382
2020-04-12 22:45:00,Volume Intensity,1.3787
2020-04-12 23:00:00,Volume Intensity,0.6582
2020-04-12 23:15:00,Volume Intensity,1.2441
2020-04-12 23:30:00,Volume Intensity,1.2335
2020-04-12 23:45:00,Volume Intensity,1.855
