Date,Series,Value
2020-03-25 00:00:00,Volume Intensity,0.7395
2020-03-25 00:15:00,Volume Intensity,1.028
2020-03-25 00:30:00,Volume Intensity,0.5959
2020-03-25 00:45:00,Volume Intensity,0.9582
2020-03-25 01:00:00,Volume Intensity,0.8354
2020-03-25 01:15:00,Volume Intensity,0.8487
2020-03-25 01:30:00,Volume Intensity,1.2042
2020-03-25 01:45:00,Volume Intensity,1.0224
2020-03-25 02:00:00,Volume Intensity,0.3628
2020-03-25 02:15:00,Volume Intensity,1.2984
2020-03-25 02:30:00,Volume Intensity,0.7472
2020-03-25 02:45:00,Volume Intensity,0.432
2020-03-25 03:00:00,Volume Intensity,0.6663
2020-03-25 03:15:00,Volume Intensity,0.4624
2020-03-25 03:30:00,Volume Intensity,0.5018
2020-03-25 03:45:00,Volume Intensity,1.2038
2020-03-25 04:00:00,Volume Intensity,1.1135
2020-03-25 04:15:00,Volume Intensity,1.0562
2020-03-25 04:30:00,Volume Intensity,0.7405
2020-03-25 04:45:00,Volume Intensity,1.1439
2020-03-25 05:00:00,Volume Intensity,1.2937
2020-03-25 05:15:00,Volume Intensity,0.5735
2020-03-25 05:30:00,Volume Intensity,0.587
2020-03-25 05:45:00,Volume Intensity,1.351
2020-03-25 06:00:00,Volume Intensity,0.3373
2020-03-25 06:15:00,Volume Intensity,1.8283
2020-03-25 06:30:00,Volume Intensity,1.2321
2020-03-25 06:45:00,Volume Intensity,1.1153
2020-03-25 07:00:00,Volume Intensity,1.2678
2020-03-25 07:15:00,Volume Intensity,0.4913
2020-03-25 07:30:00,Volume Intensity,0.5947
2020-03-25 07:45:00,Volume Intensity,1.3336
2020-03-25 08:00:00,Volume Intensity,0.9701
2020-03-25 08:15:00,Volume Intensity,0.6168
2020-03-25 08:30:00,Volume Intensity,0.692
2020-03-25 08:45:00,Volume Intensity,0.6778
2020-03-25 09:00:00,Volume Intensity,0.6997
2020-03-25 09:15:00,Volume Intensity,1.1349
2020-03-25 09:30:00,Volume Intensity,0.9171
2020-03-25 09:45:00,Volume Intensity,1.118
2020-03-25 10:00:00,Volume Intensity,0.6927
2020-03-25 10:15:00,Volume Intensity,0.8042
2020-03-25 10:30:00,Volume Intensity,0.6658
2020-03-25 10:45:00,Volume Intensity,0.8638
2020-03-25 11:00:00,Volume Intensity,0.8614
2020-03-25 11:15:00,Volume Intensity,1.0058
2020-03-25 11:30:00,Volume Intensity,0.549
2020-03-25 11:45:00,Volume Intensity,1.0771
2020-03-25 12:00:00,Volume Intensity,0.9165
2020-03-25 12:15:00,Volume Intensity,0.76
2020-03-25 12:30:00,Volume Intensity,0.7796
2020-03-25 12:45:00,Volume Intensity,0.8755
2020-03-25 13:00:00,Volume Intensity,0.8663
2020-03-25 13:15:00,Volume Intensity,1.2532
2020-03-25 13:30:00,Volume Intensity,0.9461
2020-03-25 13:45:00,Volume Intensity,1.1881
2020-03-25 14:00:00,Volume Intensity,0.6514
2020-03-25 14:15:00,Volume Intensity,1.233
2020-03-25 14:30:00,Volume Intensity,1.3348
2020-03-25 14:45:00,Volume Intensity,0.694
2020-03-25 15:00:00,Volume Intensity,0.7265
2020-03-25 15:15:00,Volume Intensity,0.7348
2020-03-25 15:30:00,Volume Intensity,0.5726
2020-03-25 15:45:00,Volume Intensity,0.7471
2020-03-25 16:00:00,Volume Intensity,0.5052
2020-03-25 16:15:00,Volume Intensity,0.8926
2020-03-25 16:30:00,Volume Intensity,1.0763
2020-03-25 16:45:00,Volume Intensity,1.0549
2020-03-25 17:00:00,Volume Intensity,0.5801
2020-03-25 17:15:00,Volume Intensity,0.8943
2020-03-25 17:30:00,Volume Intensity,0.7224
2020-03-25 17:45:00,Volume Intensity,0.8224
2020-03-25 18:00:00,Volume Intensity,0.8522
2020-03-25 18:15:00,Volume Intensity,0.88
2020-03-25 18:30:00,Volume Intensity,0.6339
2020-03-25 18:45:00,Volume Intensity,0.6837
2020-03-25 19:00:00,Volume Intensity,0.5739
2020-03-25 19:15:00,Volume Intensity,0.6798
2020-03-25 19:30:00,Volume Intensity,0.7764
2020-03-25 19:45:00,Volume Intensity,0.6866
2020-03-25 20:00:00,Volume Intensity,0.6364
2020-03-25 20:15:00,Volume Intensity,0.866
2020-03-25 20:30:00,Volume Intensity,0.8239
2020-03-25 20:45:00,Volume Intensity,0.6637
2020-03-25 21:00:00,Volume Intensity,0.9231
2020-03-25 21:15:00,Volume Intensity,1.2885
2020-03-25 21:30:00,Volume Intensity,0.9195
2020-03-25 21:45:00,Volume Intensity,0.9707
2020-03-25 22:00:00,Volume Intensity,0.2432
2020-03-25 22:15:00,Volume Intensity,0.9911
2020-03-25 22:30:00,Volume Intensity,0.8394
2020-03-25 22:45:00,Volume Intensity,0.4061
2020-03-25 23:00:00,Volume Intensity,0.8913
2020-03-25 23:15:00,Volume Intensity,1.0247
2020-03-25 23:30:00,Volume Intensity,0.6952
2020-03-25 23:45:00,Volume Intensity,0.6483
