Date,Series,Value
2020-02-29 00:00:00,Volume Intensity,0.0784
2020-02-29 00:15:00,Volume Intensity,0.2652
2020-02-29 00:30:00,Volume Intensity,0.0278
2020-02-29 00:45:00,Volume Intensity,0.142
2020-02-29 01:00:00,Volume Intensity,0.5383
2020-02-29 01:15:00,Volume Intensity,0.1907
2020-02-29 01:30:00,Volume Intensity,0.2195
2020-02-29 01:45:00,Volume Intensity,0.3023
2020-02-29 02:00:00,Volume Intensity,0.2196
2020-02-29 02:15:00,Volume Intensity,0.2794
2020-02-29 02:30:00,Volume Intensity,0.3697
2020-02-29 02:45:00,Volume Intensity,0.0341
2020-02-29 03:00:00,Volume Intensity,0.2743
2020-02-29 03:15:00,Volume Intensity,0.3123
2020-02-29 03:30:00,Volume Intensity,0.0319
2020-02-29 03:45:00,Volume Intensity,0.1149
2020-02-29 04:00:00,Volume Intensity,0.0413
2020-02-29 04:15:00,Volume Intensity,0.4326
2020-02-29 04:30:00,Volume Intensity,0.3435
2020-02-29 04:45:00,Volume Intensity,0.2741
2020-02-29 05:00:00,Volume Intensity,0.2384
2020-02-29 05:15:00,Volume Intensity,0.6512
2020-02-29 05:30:00,Volume Intensity,0.1659
2020-02-29 05:45:00,Volume Intensity,0.2201
2020-02-29 06:00:00,Volume Intensity,0.1842
2020-02-29 06:15:00,Volume Intensity,0.2335
2020-02-29 06:30:00,Volume Intensity,0.352
2020-02-29 06:45:00,Volume Intensity,0
2020-02-29 07:00:00,Volume Intensity,0.0678
2020-02-29 07:15:00,Volume Intensity,0.0654
2020-02-29 07:30:00,Volume Intensity,0.0344
2020-02-29 07:45:00,Volume Intensity,0.0956
2020-02-29 08:00:00,Volume Intensity,0.2099
2020-02-29 08:15:00,Volume Intensity,0.235
2020-02-29 08:30:00,Volume Intensity,0.1998
2020-02-29 08:45:00,Volume Intensity,0.4144
2020-02-29 09:00:00,Volume Intensity,0.141
2020-02-29 09:15:00,Volume Intensity,0.3507
2020-02-29 09:30:00,Volume Intensity,0.1408
2020-02-29 09:45:00,Volume Intensity,0.2453
2020-02-29 10:00:00,Volume Intensity,0.3846
2020-02-29 10:15:00,Volume Intensity,0.3961
2020-02-29 10:30:00,Volume Intensity,0
2020-02-29 10:45:00,Volume Intensity,0.2293
2020-02-29 11:00:00,Volume Intensity,0.1635
2020-02-29 11:15:00,Volume Intensity,0.3356
2020-02-29 11:30:00,Volume Intensity,0.3311
2020-02-29 11:45:00,Volume Intensity,0.3314
2020-02-29 12:00:00,Volume Intensity,0.5425
2020-02-29 12:15:00,Volume Intensity,0.2635
2020-02-29 12:30:00,Volume Intensity,0.25
2020-02-29 12:45:00,Volume Intensity,0.5331
2020-02-29 13:00:00,Volume Intensity,0.1138
2020-02-29 13:15:00,Volume Intensity,0.0864
2020-02-29 13:30:00,Volume Intensity,0.4981
2020-02-29 13:45:00,Volume Intensity,0.3433
2020-02-29 14:00:00,Volume Intensity,0.4181
2020-02-29 14:15:00,Volume Intensity,0.1813
2020-02-29 14:30:00,Volume Intensity,0.1956
2020-02-29 14:45:00,Volume Intensity,0.3986
2020-02-29 15:00:00,Volume Intensity,0.2456
2020-02-29 15:15:00,Volume Intensity,0.3729
2020-02-29 15:30:00,Volume Intensity,0.2404
2020-02-29 15:45:00,Volume Intensity,0.4082
2020-02-29 16:00:00,Volume Intensity,0.2149
2020-02-29 16:15:00,Volume Intensity,0.4009
2020-02-29 16:30:00,Volume Intensity,0.1851
2020-02-29 16:45:00,Volume Intensity,0.3208
2020-02-29 17:00:00,Volume Intensity,0.0917
2020-02-29 17:15:00,Volume Intensity,0.215
2020-02-29 17:30:00,Volume Intensity,0.4908
2020-02-29 17:45:00,Volume Intensity,0.4025
2020-02-29 18:00:00,Volume Intensity,0.2394
2020-02-29 18:15:00,Volume Intensity,0.0575
2020-02-29 18:30:00,Volume Intensity,0.4144
2020-02-29 18:45:00,Volume Intensity,0.388
2020-02-29 19:00:00,Volume Intensity,0.1073
2020-02-29 19:15:00,Volume Intensity,0.236
2020-02-29 19:30:00,Volume Intensity,0.5482
2020-02-29 19:45:00,Volume Intensity,0.3882
2020-02-29 20:00:00,Volume Intensity,0.4364
2020-02-29 20:15:00,Volume Intensity,0.2674
2020-02-29 20:30:00,Volume Intensity,0.6681
2020-02-29 20:45:00,Volume Intensity,0.4357
2020-02-29 21:00:00,Volume Intensity,0.6204
2020-02-29 21:15:00,Volume Intensity,0.3755
2020-02-29 21:30:00,Volume Intensity,0.4996
2020-02-29 21:45:00,Volume Intensity,0.3676
2020-02-29 22:00:00,Volume Intensity,0.6252
2020-02-29 22:15:00,Volume Intensity,0.2417
2020-02-29 22:30:00,Volume Intensity,0.5828
2020-02-29 22:45:00,Volume Intensity,0.3394
2020-02-29 23:00:00,Volume Intensity,0.2987
2020-02-29 23:15:00,Volume Intensity,0.1325
2020-02-29 23:30:00,Volume Intensity,0.5907
