Date,Series,Value
2017-03-16,Volume Intensity,0
2017-03-17,Volume Intensity,0
2017-03-18,Volume Intensity,0
2017-03-19,Volume Intensity,0
2017-03-20,Volume Intensity,0
2017-03-21,Volume Intensity,0
2017-03-22,Volume Intensity,0
2017-03-23,Volume Intensity,0
2017-03-24,Volume Intensity,0
2017-03-25,Volume Intensity,0
2017-03-26,Volume Intensity,0
2017-03-27,Volume Intensity,0
2017-03-28,Volume Intensity,0
2017-03-29,Volume Intensity,0.0007
2017-03-30,Volume Intensity,0
2017-03-31,Volume Intensity,0
2017-04-01,Volume Intensity,0
2017-04-02,Volume Intensity,0
2017-04-03,Volume Intensity,0
2017-04-04,Volume Intensity,0
2017-04-05,Volume Intensity,0
2017-04-06,Volume Intensity,0
2017-04-07,Volume Intensity,0
2017-04-08,Volume Intensity,0
2017-04-09,Volume Intensity,0
2017-04-10,Volume Intensity,0
2017-04-11,Volume Intensity,0
2017-04-12,Volume Intensity,0
2017-04-13,Volume Intensity,0.0001
2017-04-14,Volume Intensity,0
2017-04-15,Volume Intensity,0
2017-04-16,Volume Intensity,0
2017-04-17,Volume Intensity,0
2017-04-18,Volume Intensity,0
2017-04-19,Volume Intensity,0
2017-04-20,Volume Intensity,0
2017-04-21,Volume Intensity,0
2017-04-22,Volume Intensity,0
2017-04-23,Volume Intensity,0
2017-04-24,Volume Intensity,0
2017-04-25,Volume Intensity,0
2017-04-26,Volume Intensity,0
2017-04-27,Volume Intensity,0
2017-04-28,Volume Intensity,0
2017-04-29,Volume Intensity,0
2017-04-30,Volume Intensity,0
2017-05-01,Volume Intensity,0
2017-05-02,Volume Intensity,0
2017-05-03,Volume Intensity,0
2017-05-04,Volume Intensity,0
2017-05-05,Volume Intensity,0
2017-05-06,Volume Intensity,0
2017-05-07,Volume Intensity,0
2017-05-08,Volume Intensity,0
2017-05-09,Volume Intensity,0
2017-05-10,Volume Intensity,0
2017-05-11,Volume Intensity,0.0003
2017-05-12,Volume Intensity,0
2017-05-13,Volume Intensity,0
2017-05-14,Volume Intensity,0
2017-05-15,Volume Intensity,0
2017-05-16,Volume Intensity,0
2017-05-17,Volume Intensity,0
2017-05-18,Volume Intensity,0
2017-05-19,Volume Intensity,0
2017-05-20,Volume Intensity,0.0002
2017-05-21,Volume Intensity,0
2017-05-22,Volume Intensity,0
2017-05-23,Volume Intensity,0
2017-05-24,Volume Intensity,0.0001
2017-05-25,Volume Intensity,0
2017-05-26,Volume Intensity,0
2017-05-27,Volume Intensity,0
2017-05-28,Volume Intensity,0
2017-05-29,Volume Intensity,0
2017-05-30,Volume Intensity,0
2017-05-31,Volume Intensity,0
2017-06-01,Volume Intensity,0
2017-06-02,Volume Intensity,0
2017-06-03,Volume Intensity,0
2017-06-04,Volume Intensity,0
2017-06-05,Volume Intensity,0
2017-06-06,Volume Intensity,0
2017-06-07,Volume Intensity,0
2017-06-08,Volume Intensity,0
2017-06-09,Volume Intensity,0
2017-06-10,Volume Intensity,0
2017-06-11,Volume Intensity,0
2017-06-12,Volume Intensity,0
2017-06-13,Volume Intensity,0
2017-06-14,Volume Intensity,0
2017-06-15,Volume Intensity,0
2017-06-16,Volume Intensity,0
2017-06-17,Volume Intensity,0
2017-06-18,Volume Intensity,0
2017-06-19,Volume Intensity,0
2017-06-20,Volume Intensity,0
2017-06-21,Volume Intensity,0
2017-06-22,Volume Intensity,0
2017-06-23,Volume Intensity,0
2017-06-24,Volume Intensity,0.0002
2017-06-25,Volume Intensity,0
2017-06-26,Volume Intensity,0
2017-06-27,Volume Intensity,0
2017-06-28,Volume Intensity,0.0002
2017-06-29,Volume Intensity,0
2017-06-30,Volume Intensity,0
2017-07-01,Volume Intensity,0
2017-07-02,Volume Intensity,0
2017-07-03,Volume Intensity,0
2017-07-04,Volume Intensity,0.0002
2017-07-05,Volume Intensity,0
2017-07-06,Volume Intensity,0
2017-07-07,Volume Intensity,0
2017-07-08,Volume Intensity,0
2017-07-09,Volume Intensity,0
2017-07-10,Volume Intensity,0
2017-07-11,Volume Intensity,0
2017-07-12,Volume Intensity,0
2017-07-13,Volume Intensity,0
2017-07-14,Volume Intensity,0.0004
2017-07-15,Volume Intensity,0
2017-07-16,Volume Intensity,0
2017-07-17,Volume Intensity,0
2017-07-18,Volume Intensity,0
2017-07-19,Volume Intensity,0
2017-07-20,Volume Intensity,0
2017-07-21,Volume Intensity,0
2017-07-22,Volume Intensity,0
2017-07-23,Volume Intensity,0
2017-07-24,Volume Intensity,0
2017-07-25,Volume Intensity,0
2017-07-26,Volume Intensity,0
2017-07-27,Volume Intensity,0
2017-07-28,Volume Intensity,0
2017-07-29,Volume Intensity,0
2017-07-30,Volume Intensity,0
2017-07-31,Volume Intensity,0
2017-08-01,Volume Intensity,0
2017-08-02,Volume Intensity,0
2017-08-03,Volume Intensity,0
2017-08-04,Volume Intensity,0
2017-08-05,Volume Intensity,0
2017-08-06,Volume Intensity,0
2017-08-07,Volume Intensity,0
2017-08-08,Volume Intensity,0
2017-08-09,Volume Intensity,0
2017-08-10,Volume Intensity,0
2017-08-11,Volume Intensity,0
2017-08-12,Volume Intensity,0
2017-08-13,Volume Intensity,0
2017-08-14,Volume Intensity,0
2017-08-15,Volume Intensity,0
2017-08-16,Volume Intensity,0.0002
2017-08-17,Volume Intensity,0
2017-08-18,Volume Intensity,0
2017-08-19,Volume Intensity,0
2017-08-20,Volume Intensity,0.0003
2017-08-21,Volume Intensity,0
2017-08-22,Volume Intensity,0
2017-08-23,Volume Intensity,0
2017-08-24,Volume Intensity,0
2017-08-25,Volume Intensity,0
2017-08-26,Volume Intensity,0
2017-08-27,Volume Intensity,0.0003
2017-08-28,Volume Intensity,0
2017-08-29,Volume Intensity,0
2017-08-30,Volume Intensity,0.0001
2017-08-31,Volume Intensity,0
2017-09-01,Volume Intensity,0
2017-09-02,Volume Intensity,0
2017-09-03,Volume Intensity,0.0011
2017-09-04,Volume Intensity,0
2017-09-05,Volume Intensity,0
2017-09-06,Volume Intensity,0
2017-09-07,Volume Intensity,0.0001
2017-09-08,Volume Intensity,0
2017-09-09,Volume Intensity,0.0007
2017-09-10,Volume Intensity,0
2017-09-11,Volume Intensity,0.0002
2017-09-12,Volume Intensity,0
2017-09-13,Volume Intensity,0
2017-09-14,Volume Intensity,0
2017-09-15,Volume Intensity,0
2017-09-16,Volume Intensity,0
2017-09-17,Volume Intensity,0
2017-09-18,Volume Intensity,0
2017-09-19,Volume Intensity,0
2017-09-20,Volume Intensity,0
2017-09-21,Volume Intensity,0
2017-09-22,Volume Intensity,0
2017-09-23,Volume Intensity,0
2017-09-24,Volume Intensity,0
2017-09-25,Volume Intensity,0
2017-09-26,Volume Intensity,0
2017-09-27,Volume Intensity,0
2017-09-28,Volume Intensity,0
2017-09-29,Volume Intensity,0.001
2017-09-30,Volume Intensity,0
2017-10-01,Volume Intensity,0
2017-10-02,Volume Intensity,0
2017-10-03,Volume Intensity,0
2017-10-04,Volume Intensity,0.0002
2017-10-05,Volume Intensity,0
2017-10-06,Volume Intensity,0
2017-10-07,Volume Intensity,0
2017-10-08,Volume Intensity,0
2017-10-09,Volume Intensity,0
2017-10-10,Volume Intensity,0
2017-10-11,Volume Intensity,0
2017-10-12,Volume Intensity,0
2017-10-13,Volume Intensity,0.0002
2017-10-14,Volume Intensity,0
2017-10-15,Volume Intensity,0
2017-10-16,Volume Intensity,0
2017-10-17,Volume Intensity,0
2017-10-18,Volume Intensity,0
2017-10-19,Volume Intensity,0
2017-10-20,Volume Intensity,0
2017-10-21,Volume Intensity,0
2017-10-22,Volume Intensity,0
2017-10-23,Volume Intensity,0
2017-10-24,Volume Intensity,0
2017-10-25,Volume Intensity,0
2017-10-26,Volume Intensity,0
2017-10-27,Volume Intensity,0
2017-10-28,Volume Intensity,0
2017-10-29,Volume Intensity,0
2017-10-30,Volume Intensity,0
2017-10-31,Volume Intensity,0
2017-11-01,Volume Intensity,0
2017-11-02,Volume Intensity,0
2017-11-03,Volume Intensity,0
2017-11-04,Volume Intensity,0
2017-11-05,Volume Intensity,0
2017-11-06,Volume Intensity,0
2017-11-07,Volume Intensity,0
2017-11-08,Volume Intensity,0
2017-11-09,Volume Intensity,0
2017-11-10,Volume Intensity,0
2017-11-11,Volume Intensity,0
2017-11-12,Volume Intensity,0
2017-11-13,Volume Intensity,0
2017-11-14,Volume Intensity,0
2017-11-15,Volume Intensity,0
2017-11-16,Volume Intensity,0
2017-11-17,Volume Intensity,0
2017-11-18,Volume Intensity,0.0002
2017-11-19,Volume Intensity,0
2017-11-20,Volume Intensity,0
2017-11-21,Volume Intensity,0
2017-11-22,Volume Intensity,0.0001
2017-11-23,Volume Intensity,0
2017-11-24,Volume Intensity,0
2017-11-25,Volume Intensity,0
2017-11-26,Volume Intensity,0
2017-11-27,Volume Intensity,0
2017-11-28,Volume Intensity,0
2017-11-29,Volume Intensity,0.0001
2017-11-30,Volume Intensity,0
2017-12-03,Volume Intensity,0
2017-12-04,Volume Intensity,0
2017-12-05,Volume Intensity,0
2017-12-06,Volume Intensity,0
2017-12-07,Volume Intensity,0
2017-12-08,Volume Intensity,0
2017-12-09,Volume Intensity,0
2017-12-10,Volume Intensity,0
2017-12-11,Volume Intensity,0
2017-12-12,Volume Intensity,0.0001
2017-12-13,Volume Intensity,0
2017-12-14,Volume Intensity,0
2017-12-15,Volume Intensity,0
2017-12-16,Volume Intensity,0
2017-12-17,Volume Intensity,0.0003
2017-12-18,Volume Intensity,0.0002
2017-12-19,Volume Intensity,0
2017-12-20,Volume Intensity,0
2017-12-21,Volume Intensity,0
2017-12-22,Volume Intensity,0
2017-12-23,Volume Intensity,0
2017-12-24,Volume Intensity,0
2017-12-25,Volume Intensity,0
2017-12-26,Volume Intensity,0.0002
2017-12-27,Volume Intensity,0
2017-12-28,Volume Intensity,0
2017-12-29,Volume Intensity,0
2017-12-30,Volume Intensity,0.0003
2017-12-31,Volume Intensity,0
2018-01-01,Volume Intensity,0
2018-01-02,Volume Intensity,0
2018-01-03,Volume Intensity,0
2018-01-04,Volume Intensity,0
2018-01-05,Volume Intensity,0
2018-01-06,Volume Intensity,0
2018-01-07,Volume Intensity,0
2018-01-08,Volume Intensity,0
2018-01-09,Volume Intensity,0
2018-01-10,Volume Intensity,0
2018-01-11,Volume Intensity,0
2018-01-12,Volume Intensity,0
2018-01-13,Volume Intensity,0
2018-01-14,Volume Intensity,0
2018-01-15,Volume Intensity,0
2018-01-16,Volume Intensity,0
2018-01-17,Volume Intensity,0
2018-01-18,Volume Intensity,0
2018-01-19,Volume Intensity,0
2018-01-20,Volume Intensity,0
2018-01-21,Volume Intensity,0.0013
2018-01-22,Volume Intensity,0
2018-01-23,Volume Intensity,0
2018-01-24,Volume Intensity,0
2018-01-25,Volume Intensity,0
2018-01-26,Volume Intensity,0
