Date,Series,Value
2020-04-06 00:00:00,Volume Intensity,1.1008
2020-04-06 00:15:00,Volume Intensity,0.2162
2020-04-06 00:30:00,Volume Intensity,0.8291
2020-04-06 00:45:00,Volume Intensity,1.1416
2020-04-06 01:00:00,Volume Intensity,1.0333
2020-04-06 01:15:00,Volume Intensity,1.3465
2020-04-06 01:30:00,Volume Intensity,0.9283
2020-04-06 01:45:00,Volume Intensity,1.0461
2020-04-06 02:00:00,Volume Intensity,0.7334
2020-04-06 02:15:00,Volume Intensity,0.6348
2020-04-06 02:30:00,Volume Intensity,0.4621
2020-04-06 02:45:00,Volume Intensity,0.0816
2020-04-06 03:00:00,Volume Intensity,0.1607
2020-04-06 03:15:00,Volume Intensity,0.8624
2020-04-06 03:30:00,Volume Intensity,0.1446
2020-04-06 03:45:00,Volume Intensity,1.2394
2020-04-06 04:00:00,Volume Intensity,0.7619
2020-04-06 04:15:00,Volume Intensity,0.2406
2020-04-06 04:30:00,Volume Intensity,0.8415
2020-04-06 04:45:00,Volume Intensity,0.7416
2020-04-06 05:00:00,Volume Intensity,1.1268
2020-04-06 05:15:00,Volume Intensity,0.4049
2020-04-06 05:30:00,Volume Intensity,0.5522
2020-04-06 05:45:00,Volume Intensity,0.6929
2020-04-06 06:00:00,Volume Intensity,0.7192
2020-04-06 06:15:00,Volume Intensity,0.6013
2020-04-06 06:30:00,Volume Intensity,1.2497
2020-04-06 06:45:00,Volume Intensity,0.9035
2020-04-06 07:00:00,Volume Intensity,0.4263
2020-04-06 07:15:00,Volume Intensity,1.0255
2020-04-06 07:30:00,Volume Intensity,0.7477
2020-04-06 07:45:00,Volume Intensity,0.5421
2020-04-06 08:00:00,Volume Intensity,0.6592
2020-04-06 08:15:00,Volume Intensity,0.4474
2020-04-06 08:30:00,Volume Intensity,0.8352
2020-04-06 08:45:00,Volume Intensity,0.2778
2020-04-06 09:00:00,Volume Intensity,0.6107
2020-04-06 09:15:00,Volume Intensity,0.6996
2020-04-06 09:30:00,Volume Intensity,0.838
2020-04-06 09:45:00,Volume Intensity,0.6438
2020-04-06 10:00:00,Volume Intensity,0.5092
2020-04-06 10:15:00,Volume Intensity,0.6583
2020-04-06 10:30:00,Volume Intensity,0.5453
2020-04-06 10:45:00,Volume Intensity,0.5343
2020-04-06 11:00:00,Volume Intensity,0.6638
2020-04-06 11:15:00,Volume Intensity,0.5777
2020-04-06 11:30:00,Volume Intensity,0.638
2020-04-06 11:45:00,Volume Intensity,0.9206
2020-04-06 12:00:00,Volume Intensity,0.6186
2020-04-06 12:15:00,Volume Intensity,0.8028
2020-04-06 12:30:00,Volume Intensity,0.626
2020-04-06 12:45:00,Volume Intensity,0.829
2020-04-06 13:00:00,Volume Intensity,0.6346
2020-04-06 13:15:00,Volume Intensity,0.6408
2020-04-06 13:30:00,Volume Intensity,0.9357
2020-04-06 13:45:00,Volume Intensity,0.734
2020-04-06 14:00:00,Volume Intensity,0.5178
2020-04-06 14:15:00,Volume Intensity,0.6168
2020-04-06 14:30:00,Volume Intensity,0.8341
2020-04-06 14:45:00,Volume Intensity,0.6196
2020-04-06 15:00:00,Volume Intensity,0.7428
2020-04-06 15:15:00,Volume Intensity,0.6137
2020-04-06 15:30:00,Volume Intensity,0.3792
2020-04-06 15:45:00,Volume Intensity,0.5888
2020-04-06 16:00:00,Volume Intensity,0.6645
2020-04-06 16:15:00,Volume Intensity,0.4277
2020-04-06 16:30:00,Volume Intensity,0.6281
2020-04-06 16:45:00,Volume Intensity,0.8836
2020-04-06 17:00:00,Volume Intensity,0.626
2020-04-06 17:15:00,Volume Intensity,0.8727
2020-04-06 17:30:00,Volume Intensity,0.3576
2020-04-06 17:45:00,Volume Intensity,0.5975
2020-04-06 18:00:00,Volume Intensity,0.7233
2020-04-06 18:15:00,Volume Intensity,0.8536
2020-04-06 18:30:00,Volume Intensity,0.849
2020-04-06 18:45:00,Volume Intensity,0.3803
2020-04-06 19:00:00,Volume Intensity,0.8595
2020-04-06 19:15:00,Volume Intensity,0.5832
2020-04-06 19:30:00,Volume Intensity,0.3767
2020-04-06 19:45:00,Volume Intensity,0.6069
2020-04-06 20:00:00,Volume Intensity,1.0974
2020-04-06 20:15:00,Volume Intensity,0.4445
2020-04-06 20:30:00,Volume Intensity,0.5912
2020-04-06 20:45:00,Volume Intensity,0.8099
2020-04-06 21:00:00,Volume Intensity,0.676
2020-04-06 21:15:00,Volume Intensity,0.4325
2020-04-06 21:30:00,Volume Intensity,0.652
2020-04-06 21:45:00,Volume Intensity,0.4473
2020-04-06 22:00:00,Volume Intensity,0.845
2020-04-06 22:15:00,Volume Intensity,0.9954
2020-04-06 22:30:00,Volume Intensity,0.5933
2020-04-06 22:45:00,Volume Intensity,1.037
2020-04-06 23:00:00,Volume Intensity,0.2077
2020-04-06 23:15:00,Volume Intensity,0.3396
2020-04-06 23:30:00,Volume Intensity,0.2425
2020-04-06 23:45:00,Volume Intensity,0.6911
