Date,Series,Value
2020-04-10 00:00:00,Volume Intensity,0.7937
2020-04-10 00:15:00,Volume Intensity,0.3978
2020-04-10 00:30:00,Volume Intensity,0.4957
2020-04-10 00:45:00,Volume Intensity,1.0171
2020-04-10 01:00:00,Volume Intensity,0.9394
2020-04-10 01:15:00,Volume Intensity,0.0274
2020-04-10 01:30:00,Volume Intensity,0.46
2020-04-10 01:45:00,Volume Intensity,0.4847
2020-04-10 02:00:00,Volume Intensity,0.2784
2020-04-10 02:15:00,Volume Intensity,0.0605
2020-04-10 02:30:00,Volume Intensity,0.6237
2020-04-10 02:45:00,Volume Intensity,0.2132
2020-04-10 03:00:00,Volume Intensity,0.0926
2020-04-10 03:15:00,Volume Intensity,0.9725
2020-04-10 03:30:00,Volume Intensity,0.5951
2020-04-10 03:45:00,Volume Intensity,0.446
2020-04-10 04:00:00,Volume Intensity,1.3461
2020-04-10 04:15:00,Volume Intensity,0.3678
2020-04-10 04:30:00,Volume Intensity,0.8718
2020-04-10 04:45:00,Volume Intensity,0.2058
2020-04-10 05:00:00,Volume Intensity,0.2573
2020-04-10 05:15:00,Volume Intensity,0.8242
2020-04-10 05:30:00,Volume Intensity,1.1635
2020-04-10 05:45:00,Volume Intensity,0.9687
2020-04-10 06:00:00,Volume Intensity,0.8199
2020-04-10 06:15:00,Volume Intensity,0.2741
2020-04-10 06:30:00,Volume Intensity,0.4794
2020-04-10 06:45:00,Volume Intensity,0.6875
2020-04-10 07:00:00,Volume Intensity,0.839
2020-04-10 07:15:00,Volume Intensity,0.4656
2020-04-10 07:30:00,Volume Intensity,0.6207
2020-04-10 07:45:00,Volume Intensity,0.588
2020-04-10 08:00:00,Volume Intensity,0.9316
2020-04-10 08:15:00,Volume Intensity,0.3785
2020-04-10 08:30:00,Volume Intensity,0.5979
2020-04-10 08:45:00,Volume Intensity,0.658
2020-04-10 09:00:00,Volume Intensity,0.3342
2020-04-10 09:15:00,Volume Intensity,0.7178
2020-04-10 09:30:00,Volume Intensity,0.6584
2020-04-10 09:45:00,Volume Intensity,0.5899
2020-04-10 10:00:00,Volume Intensity,0.5784
2020-04-10 10:15:00,Volume Intensity,0.3053
2020-04-10 10:30:00,Volume Intensity,0.338
2020-04-10 10:45:00,Volume Intensity,0.9901
2020-04-10 11:00:00,Volume Intensity,0.6495
2020-04-10 11:15:00,Volume Intensity,0.441
2020-04-10 11:30:00,Volume Intensity,0.6268
2020-04-10 11:45:00,Volume Intensity,0.9308
2020-04-10 12:00:00,Volume Intensity,0.6356
2020-04-10 12:15:00,Volume Intensity,0.7357
2020-04-10 12:30:00,Volume Intensity,0.6707
2020-04-10 12:45:00,Volume Intensity,0.8387
2020-04-10 13:00:00,Volume Intensity,0.7021
2020-04-10 13:15:00,Volume Intensity,1.036
2020-04-10 13:30:00,Volume Intensity,0.5527
2020-04-10 13:45:00,Volume Intensity,0.8297
2020-04-10 14:00:00,Volume Intensity,0.3684
2020-04-10 14:15:00,Volume Intensity,0.5033
2020-04-10 14:30:00,Volume Intensity,0.5875
2020-04-10 14:45:00,Volume Intensity,0.6576
2020-04-10 15:00:00,Volume Intensity,0.8622
2020-04-10 15:15:00,Volume Intensity,0.433
2020-04-10 15:30:00,Volume Intensity,0.4343
2020-04-10 15:45:00,Volume Intensity,0.2693
2020-04-10 16:00:00,Volume Intensity,0.7582
2020-04-10 16:15:00,Volume Intensity,0.5259
2020-04-10 16:30:00,Volume Intensity,0.6501
2020-04-10 16:45:00,Volume Intensity,0.4933
2020-04-10 17:00:00,Volume Intensity,0.5791
2020-04-10 17:15:00,Volume Intensity,0.4363
2020-04-10 17:30:00,Volume Intensity,0.2828
2020-04-10 17:45:00,Volume Intensity,0.4843
2020-04-10 18:00:00,Volume Intensity,0.6397
2020-04-10 18:15:00,Volume Intensity,0.4826
2020-04-10 18:30:00,Volume Intensity,0.9138
2020-04-10 18:45:00,Volume Intensity,0.4357
2020-04-10 19:00:00,Volume Intensity,0.4318
2020-04-10 19:15:00,Volume Intensity,0.7474
2020-04-10 19:30:00,Volume Intensity,0.8098
2020-04-10 19:45:00,Volume Intensity,0.8102
2020-04-10 20:00:00,Volume Intensity,0.628
2020-04-10 20:15:00,Volume Intensity,0.253
2020-04-10 20:30:00,Volume Intensity,0.8547
2020-04-10 20:45:00,Volume Intensity,0.5278
2020-04-10 21:00:00,Volume Intensity,0.6506
2020-04-10 21:15:00,Volume Intensity,1.2372
2020-04-10 21:30:00,Volume Intensity,0.4112
2020-04-10 21:45:00,Volume Intensity,0.5221
2020-04-10 22:00:00,Volume Intensity,0.7379
2020-04-10 22:15:00,Volume Intensity,0.8112
2020-04-10 22:30:00,Volume Intensity,0.6106
2020-04-10 22:45:00,Volume Intensity,1.4594
2020-04-10 23:00:00,Volume Intensity,0.9776
2020-04-10 23:15:00,Volume Intensity,0.4829
2020-04-10 23:30:00,Volume Intensity,0.6771
2020-04-10 23:45:00,Volume Intensity,0.526
