Date,Series,Value
2020-03-13 00:00:00,Volume Intensity,0.9522
2020-03-13 00:15:00,Volume Intensity,0.3754
2020-03-13 00:30:00,Volume Intensity,0.7225
2020-03-13 00:45:00,Volume Intensity,0.5194
2020-03-13 01:00:00,Volume Intensity,0.2116
2020-03-13 01:15:00,Volume Intensity,1.2602
2020-03-13 01:30:00,Volume Intensity,0.6711
2020-03-13 01:45:00,Volume Intensity,0.304
2020-03-13 02:00:00,Volume Intensity,0.7782
2020-03-13 02:15:00,Volume Intensity,0.6151
2020-03-13 02:30:00,Volume Intensity,0.5452
2020-03-13 02:45:00,Volume Intensity,0.4766
2020-03-13 03:00:00,Volume Intensity,0.3244
2020-03-13 03:15:00,Volume Intensity,0.3762
2020-03-13 03:30:00,Volume Intensity,0.3223
2020-03-13 03:45:00,Volume Intensity,0.1398
2020-03-13 04:00:00,Volume Intensity,0.31
2020-03-13 04:15:00,Volume Intensity,0.453
2020-03-13 04:30:00,Volume Intensity,0.5414
2020-03-13 04:45:00,Volume Intensity,0.751
2020-03-13 05:00:00,Volume Intensity,1.4592
2020-03-13 05:15:00,Volume Intensity,0.6286
2020-03-13 05:30:00,Volume Intensity,0.0573
2020-03-13 05:45:00,Volume Intensity,0.8216
2020-03-13 06:00:00,Volume Intensity,0.4952
2020-03-13 06:15:00,Volume Intensity,0.5401
2020-03-13 06:30:00,Volume Intensity,0.6631
2020-03-13 06:45:00,Volume Intensity,0.3518
2020-03-13 07:00:00,Volume Intensity,0.4183
2020-03-13 07:15:00,Volume Intensity,0.6757
2020-03-13 07:30:00,Volume Intensity,0.3264
2020-03-13 07:45:00,Volume Intensity,0.705
2020-03-13 08:00:00,Volume Intensity,0.3191
2020-03-13 08:15:00,Volume Intensity,1.0848
2020-03-13 08:30:00,Volume Intensity,0.6936
2020-03-13 08:45:00,Volume Intensity,0.7114
2020-03-13 09:00:00,Volume Intensity,0.6786
2020-03-13 09:15:00,Volume Intensity,0.7325
2020-03-13 09:30:00,Volume Intensity,0.9117
2020-03-13 09:45:00,Volume Intensity,0.6247
2020-03-13 10:00:00,Volume Intensity,0.7386
2020-03-13 10:15:00,Volume Intensity,0.8223
2020-03-13 10:30:00,Volume Intensity,0.7959
2020-03-13 10:45:00,Volume Intensity,1.0373
2020-03-13 11:00:00,Volume Intensity,0.9003
2020-03-13 11:15:00,Volume Intensity,1.0298
2020-03-13 11:30:00,Volume Intensity,0.8348
2020-03-13 11:45:00,Volume Intensity,1.3591
2020-03-13 12:00:00,Volume Intensity,0.5436
2020-03-13 12:15:00,Volume Intensity,0.4018
2020-03-13 12:30:00,Volume Intensity,1.7921
2020-03-13 12:45:00,Volume Intensity,0.9703
2020-03-13 13:00:00,Volume Intensity,0.9378
2020-03-13 13:15:00,Volume Intensity,0.8908
2020-03-13 13:30:00,Volume Intensity,1.0606
2020-03-13 13:45:00,Volume Intensity,0.7457
2020-03-13 14:00:00,Volume Intensity,1.0103
2020-03-13 14:15:00,Volume Intensity,1.043
2020-03-13 14:30:00,Volume Intensity,0.7772
2020-03-13 14:45:00,Volume Intensity,0.945
2020-03-13 15:00:00,Volume Intensity,0.5784
2020-03-13 15:15:00,Volume Intensity,0.6455
2020-03-13 15:30:00,Volume Intensity,0.7994
2020-03-13 15:45:00,Volume Intensity,0.5114
2020-03-13 16:00:00,Volume Intensity,0.5149
2020-03-13 16:15:00,Volume Intensity,0.7272
2020-03-13 16:30:00,Volume Intensity,0.3412
2020-03-13 16:45:00,Volume Intensity,0.5647
2020-03-13 17:00:00,Volume Intensity,0.8003
2020-03-13 17:15:00,Volume Intensity,0.8011
2020-03-13 17:30:00,Volume Intensity,1.0231
2020-03-13 17:45:00,Volume Intensity,0.976
2020-03-13 18:00:00,Volume Intensity,0.7358
2020-03-13 18:15:00,Volume Intensity,0.8109
2020-03-13 18:30:00,Volume Intensity,0.8826
2020-03-13 18:45:00,Volume Intensity,0.5494
2020-03-13 19:00:00,Volume Intensity,0.5556
2020-03-13 19:15:00,Volume Intensity,0.8769
2020-03-13 19:30:00,Volume Intensity,0.8501
2020-03-13 19:45:00,Volume Intensity,0.4185
2020-03-13 20:00:00,Volume Intensity,0.7885
2020-03-13 20:15:00,Volume Intensity,0.83
2020-03-13 20:30:00,Volume Intensity,0.9956
2020-03-13 20:45:00,Volume Intensity,1.2368
2020-03-13 21:00:00,Volume Intensity,1.0472
2020-03-13 21:15:00,Volume Intensity,0.6471
2020-03-13 21:30:00,Volume Intensity,0.7481
2020-03-13 21:45:00,Volume Intensity,0.9608
2020-03-13 22:00:00,Volume Intensity,0.7232
2020-03-13 22:15:00,Volume Intensity,0.9867
2020-03-13 22:30:00,Volume Intensity,0.4716
2020-03-13 22:45:00,Volume Intensity,0.8978
2020-03-13 23:00:00,Volume Intensity,0.5795
2020-03-13 23:15:00,Volume Intensity,0.3526
2020-03-13 23:30:00,Volume Intensity,0.6314
2020-03-13 23:45:00,Volume Intensity,1.0072
