URL,MobileURL,Date,Title
"https://vz.ru/news/2020/1/22/1019552.html","https://vz.ru/amp/news/2020/1/22/1019552.html","2020-01-22 14:15:00","ВЗГЛЯД / Иммунолог назвала средства для защиты от китайского коронавируса"
"https://www.fxstreet.com/analysis/markets-rebound-after-yesterdays-angst-202001221345","https://www.fxstreet.com/amp/analysis/markets-rebound-after-yesterdays-angst-202001221345","2020-01-22 14:30:00","Markets rebound after yesterday angst"
"http://www.lesahel.org/index.php/2020/01/23/entretien-avec-le-president-du-comite-dorganisation-de-la-foire-des-maraichers-dagadez-les-jeunes-de-notre-region-ont-compris-que-travailler-la-terre-ne-pourra-qu/","","2020-01-22 22:45:00","Entretien avec le président du Comité dorganisation de la foire des maraichers dAgadez : « Les jeunes de notre région ont compris que travailler la terre ne pourra qu  être bénéfique aussi bien pour eux mêmes que pour la Nation » déclare M . Hamidi Y..."
