URL,MobileURL,Date,Title
"https://www.dailystar.co.uk/news/latest-news/how-free-food-during-coronavirus-21772591","https://www.dailystar.co.uk/news/latest-news/how-free-food-during-coronavirus-21772591.amp","2020-03-30 12:45:00","How to get free food during coronavirus – without setting foot in a supermarket"
"https://www.tribuneindia.com/news/features/whatsapp-gyan-on-beating-covid-19-62261","https://m.tribuneindia.com/news/features/whatsapp-gyan-on-beating-covid-19-62261/amp","2020-03-30 20:15:00","WhatsApp gyan on beating Covid - 19"
"https://gshow.globo.com/receitas-gshow/noticia/receitas-faceis-para-fazer-na-quarentena-veja-como-inovar-na-salada.ghtml","https://gshow.globo.com/google/amp/receitas-gshow/noticia/receitas-faceis-para-fazer-na-quarentena-veja-como-inovar-na-salada.ghtml","2020-03-30 11:15:00","Receitas fáceis para fazer na quarentena : veja como inovar na salada"
"https://www.independent.co.uk/news/uk/home-news/coroanvirus-origin-where-come-from-conspiracy-theory-chinese-lab-vodka-cocaine-garlic-a9436731.html","https://www.independent.co.uk/news/uk/home-news/coroanvirus-origin-where-come-from-conspiracy-theory-chinese-lab-vodka-cocaine-garlic-a9436731.html?amp","2020-03-30 23:00:00","Coronavirus : From a Chinese lab to eating garlic , the Covid - 19 conspiracy theories Britons believe"
"https://www.timesnownews.com/india/article/fact-check-inhaling-hot-water-steam-kills-coronavirus/571505","https://www.timesnownews.com/amp/india/article/fact-check-inhaling-hot-water-steam-kills-coronavirus/571505","2020-03-30 13:15:00"," [ Fact Check ]: Inhaling hot water steam kills coronavirus ? "
"http://kanal3.bg/news/world/russia/119433-Zaradi-COVID-19%3A-Rusnacite-izkupiha-prezervativite%2C-eldata-i-chesana","","2020-03-30 10:15:00","Заради COVID - 19 : Руснаците изкупиха презервативите , елдата и чесъна"
"https://www.walesonline.co.uk/news/uk-news/coronavirus-myths-covid-19-water-18010533","https://www.walesonline.co.uk/news/uk-news/coronavirus-myths-covid-19-water-18010533.amp","2020-03-30 19:45:00","The coronavirus myths people still believe"
"https://www.dnes.bg/rusia/2020/03/30/elda-stoki-za-vyzrastni-s-kakvo-se-zapasiavat-rusnacite.444051","https://m.dnes.bg/rusia/2020/03/30/elda-stoki-za-vyzrastni-s-kakvo-se-zapasiavat-rusnacite.444051/amp","2020-03-30 14:15:00","Елда , стоки за възрастни – с какво се запасяват руснаците ? | Dnes . bg"
"https://eurozpravy.cz/zahranicni/evropa/pohanka-ci-kondomy-pet-veci-ktere-rusove-kupuji-pri-pandemii-koronaviru.4141eb55/","https://eurozpravy.cz/amp/zahranicni/evropa/pohanka-ci-kondomy-pet-veci-ktere-rusove-kupuji-pri-pandemii-koronaviru.4141eb55","2020-03-30 11:15:00","Pohanka či kondomy . Pět věcí , které Rusové kupují při pandemii koronaviru"
"https://trud.bg/%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%86%D0%B8%D1%82%D0%B5-%D1%81%D0%B5-%D0%B7%D0%B0%D0%BF%D0%B0%D1%81%D1%8F%D0%B2%D0%B0%D1%82-%D1%81-%D0%B5%D0%BB%D0%B4%D0%B0-%D0%B8-%D0%BF%D1%80%D0%B5%D0%B7%D0%B5%D1%80/","https://trud.bg/%d1%80%d1%83%d1%81%d0%bd%d0%b0%d1%86%d0%b8%d1%82%d0%b5-%d1%81%d0%b5-%d0%b7%d0%b0%d0%bf%d0%b0%d1%81%d1%8f%d0%b2%d0%b0%d1%82-%d1%81-%d0%b5%d0%bb%d0%b4%d0%b0-%d0%b8-%d0%bf%d1%80%d0%b5%d0%b7%d0%b5%d1%80/amp/","2020-03-30 10:00:00","Руснаците се запасяват с елда и презервативи"
"http://www.bta.bg/bg/c/CV/id/2178701","","2020-03-30 08:15:00","Елда , презервативи . . . Пет от най - популярните покупки в Русия с идването на Ковид - 19 - Новини"
"https://www.vesti.bg/temi-v-razvitie/tema-koronavirus/pet-ot-naj-populiarnite-pokupki-v-rusiia-s-idvaneto-na-kovid-19-6107587","","2020-03-30 10:30:00","Пет от най - популярните покупки в Русия с идването на Ковид - 19 - Теми в развитие"
